@relation metrics+reasoning_time

@attribute ontology string
@attribute SOV numeric
@attribute ENR numeric
@attribute EOG numeric
@attribute RCH numeric
@attribute CYC numeric
@attribute ESUB numeric
@attribute SUPECHN numeric
@attribute ELCLSPRT numeric
@attribute ELAXPRT numeric
@attribute HLC numeric
@attribute RHLC numeric
@attribute IHR numeric
@attribute IND numeric
@attribute aNOC numeric
@attribute tNOC numeric
@attribute aCID numeric
@attribute mCID numeric
@attribute aCOD numeric
@attribute tCOD numeric
@attribute aNOP numeric
@attribute CONJP numeric
@attribute UFP numeric
@attribute EF numeric
@attribute EFP numeric
@attribute OBPP numeric
@attribute DTPP numeric
@attribute FUNP numeric
@attribute CHNP numeric
@attribute ELPROP numeric
@attribute reasoning_time numeric

@data
ore_ont_8916.owl,0.39558,0.032826,0.285707,0,0.289283,0,0,1,1,0,0,0,0,0.196877,0.512598,0.046548,0.235586,0.030448,0.443987,0.034914,0,0,0,0,0,0,0,0,0,4.885324
ore_ont_4503.owl,0.422314,0.224189,0.482664,0.43116,0.630821,0.76085,0.589273,1,0.999777,0.547627,0.198499,0,0,0.378083,0.634964,0.16147,0.532551,0.275601,0.600944,0.285829,0,0,0.591148,1,1,0,0,0,1,5.777652
ore_ont_1988.owl,0.134768,0.103874,0.374844,0.210227,0.347982,0.744898,0.238073,0.991973,0.99,0,0,0,0.328473,0.143015,0.306896,0.121929,0.30936,0.157284,0.2984,0.059644,0,0.0345,0.263776,0.9655,1,0,0,0,0,4.434777
ore_ont_12723.owl,0.371102,0.091767,0.416822,0.285783,0.486334,0.162685,0.445316,0.921546,0.897122,0.427416,0.176664,0.403682,0,0.179297,0.499068,0.070877,0.339613,0.10626,0.473229,0.059024,0.1448,0.0533,0.45427,0.6267,0.9951,0.0049,0.0683,0.011382,0.701878,6.182085
ore_ont_12084.owl,0.293717,0.083352,0.406558,0.20988,0.410846,0.003559,0,0.772652,0.748466,0.219901,0.014291,0.160898,0.343389,0.181748,0.422983,0.072859,0.237819,0.088113,0.3781,0.06951,0,0.3223,0.086059,0.0165,0.7065,0.2935,0,0,0.852459,5.012855
ore_ont_12342.owl,0.241727,0.353735,0.488315,0.251554,0.54809,0.102679,0.331852,0.888623,0.774757,0.319133,0.109785,0.289702,0.28924,0.186008,0.407872,0.282036,0.304647,0.481596,0.491428,0.061787,0.1071,0.1518,0.315324,0.4911,0.9245,0.0755,0.1321,0,0.862385,4.972125
ore_ont_7532.owl,0.402196,0.085804,0.385543,0.276467,0.498497,0.107401,0.449431,0.948649,0.934517,0.41574,0.109876,0.425318,0.051249,0.170156,0.514524,0.066837,0.376969,0.098793,0.492871,0.048393,0.1237,0.0364,0.48619,0.7205,0.9724,0.0276,0.0586,0.016092,0.678636,6.309918
ore_ont_4855.owl,0.122614,0.028768,0.056328,0,0,0,0,1,1,0,0,0,0,0.187629,0.32247,0.041459,0.334395,0.025259,0.231513,0.028963,0,0,0,0,0,0,0,0,0,4.394449
ore_ont_8786.owl,0.224458,0.232505,0.527315,0.648201,0.497337,0.004405,0,0.542814,0.163842,0.337665,0.113065,0.387262,0.394281,0.135423,0.362612,0.120827,0.253774,0.196336,0.381301,0.081067,0.3559,0.2297,0.054297,0.0045,0.9412,0.0588,0.3529,0,0.921053,5.963579
ore_ont_8021.owl,0.274987,0.083554,0.404569,0.255576,0.406583,0.541371,0.437515,1,1,0,0,0,0,0.199487,0.45026,0.065029,0.174431,0.095486,0.402404,0.076099,0,0,0.413459,1,1,0,0,0.583333,1,4.567814
ore_ont_13885.owl,0.112185,0.083877,0.297652,0.167226,0.33984,0,0,0.811839,0.571429,0,0,0,0.381865,0.132534,0.222549,0.1849,0.223398,0.145153,0.204348,0.04376,0,0,0,0,0.9273,0.0727,0,0,0.855346,4.514516
ore_ont_6065.owl,0.486759,0.039052,0.252399,0,0.413636,0,0,1,1,0,0,0,0,0.204516,0.578198,0.050751,0.4212,0.038412,0.518083,0.044046,0,0,0,0,0,0,0,0,0,5.626421
ore_ont_9904.owl,0.102404,0.137651,0.451064,0.496691,0.352566,0.287671,0.147131,0.678932,0.59596,0.272967,0.146934,0.181709,0.051249,0.163146,0.287457,0.133636,0.183496,0.149273,0.260334,0.079752,0,0.3721,0.230652,0.4186,0.9808,0.0192,0,0,0.793103,4.410776
ore_ont_11064.owl,0.184785,0.231989,0.592535,0.442016,0.47465,0.508885,0.328961,0.848463,0.748148,0.384468,0.297592,0.215986,0,0.263293,0.429424,0.169703,0.235586,0.289009,0.418925,0.16535,0.0854,0.1098,0.363817,0.628,0.8182,0.1818,0.0909,0,0.512821,4.892852
ore_ont_4668.owl,0.193294,0.096732,0.361673,0.506798,0.392244,0.994253,0.345075,0.974723,0.94086,0.37457,0.945307,0,0,0.082146,0.344942,0.04715,0.294316,0.113271,0.374844,0.03061,0.3498,0,0.391455,0.6049,1,0,0,0,1,4.529009
ore_ont_12448.owl,0.616627,0.052047,0.185258,0.259537,0.683793,0.21226,0.636,1,0.999951,0.581181,0.031307,0.530403,0.853388,0.261461,0.709656,0.229119,0.820641,0.149121,0.687246,0.14302,0,0,0.687454,1,1,0,0,0.388889,1,8.48467
ore_ont_670.owl,0.393722,0.044145,0.346174,0,0.37804,0,0,1,1,0,0,0,0,0.210766,0.517729,0.05419,0.205865,0.045002,0.449781,0.051602,0,0,0,0,1,0,0,0,1,4.936869
ore_ont_7818.owl,0.299911,0.103568,0.45819,0.139223,0.435168,0,0,0.846399,0.974468,0,0,0,0.37431,0.156833,0.363485,0.139604,0.250068,0.091187,0.32696,0.031708,0,0.1,0,0,0.4975,0.5025,0.4822,0,0.97955,4.736198
ore_ont_9739.owl,0.528701,0.076961,0.285496,0.377875,0.648319,0.522055,0.62055,1,0.995937,0.616358,0.205076,0.59834,0.739542,0.208411,0.637878,0.169742,0.702799,0.171206,0.639865,0.119454,0.4168,0,0.616775,0.5832,1,0,0,0.565657,0.948276,7.093681
ore_ont_7540.owl,0.716614,0.028766,0.000484,0,0,0,0,1,1,0,0,0,0,0.191961,0.728638,0.043842,0.758696,0.025256,0.688059,0.02896,0,0,0,0,0,0,0,0,0,7.591525
ore_ont_13035.owl,0.266927,0.097493,0.395381,0.340823,0.439013,0.411576,0,0.960637,0.932476,0.237804,0.023339,0.349921,0.368974,0.1839,0.38356,0.103957,0.311171,0.114971,0.343633,0.089653,0,0,0.358358,0.8972,1,0,0,0.035533,1,4.608498
ore_ont_4827.owl,0.315917,0.063535,0.35992,0.115474,0.392056,0.007261,0,0.944168,0.95825,0.245173,0.020655,0.273602,0,0.190565,0.458971,0.06073,0.294316,0.063985,0.403069,0.046925,0.3551,0,0.245618,0.2056,0.8929,0.1071,0,0,1,4.870095
ore_ont_8432.owl,0.547285,0.030654,0.044815,0.000648,0.490697,0.000621,0,1,1,0.13316,0.000038,0,0.837501,0.212952,0.623161,0.299227,0.822276,0.047475,0.568991,0.054343,0,0,0.152432,1,1,0,0,0.388889,1,8.224432
ore_ont_11477.owl,0.25444,0.207889,0.516935,0.629435,0.505066,0.00303,0,0.544529,0.181992,0.337992,0.089823,0.387262,0.412265,0.139072,0.387508,0.118461,0.257318,0.192426,0.405557,0.07924,0.3399,0.2937,0.054297,0.0033,0.96,0.04,0.24,0,0.9375,6.79794
ore_ont_11016.owl,0.199399,0.150486,0.52164,0.693854,0.427523,0.12,0.11998,0.553684,0.345455,0.257769,0.043693,0,0.345492,0.132899,0.323002,0.130968,0.17909,0.236315,0.352137,0.073412,0.2239,0.2836,0.258178,0.194,0.7561,0.2439,0,0,0.466667,4.628235
ore_ont_15108.owl,0.376234,0.142472,0.372985,0.518999,0.565657,0.536734,0.515597,0.932556,0.975348,0.296167,0.01272,0,0,0.220815,0.555554,0.095678,0.451653,0.17097,0.54049,0.130616,0,0.0591,0.570975,0.8819,1,0,0,0,1,5.44386
ore_ont_16283.owl,0.632085,0.142494,0.334377,0.246609,0.706676,0.520943,0.474036,1,0.999878,0.61326,0.18166,0.595341,0,0.236667,0.708968,0.08384,0.666629,0.170884,0.706115,0.169771,0.0309,0,0.692012,0.9691,1,0,0,0,0.772727,7.206872
ore_ont_2397.owl,0.549986,0.147058,0.427269,0.472789,0.676139,0.565321,0.630277,0.999806,0.999838,0.591467,0.214129,0.598466,0,0.239796,0.675465,0.096582,0.439619,0.178052,0.669442,0.156715,0,0,0.704594,0.9996,1,0,0,0,1,6.948257
ore_ont_5849.owl,0.681255,0.147575,0.318637,0.057301,0.729824,0.476576,0.470918,0.999713,0.999817,0.703095,0.424915,0.643202,0.217701,0.257596,0.736703,0.096681,0.724767,0.177421,0.730213,0.173299,0.0999,0.0018,0.594031,0.8956,1,0,0.0132,0.509934,0.900356,8.213201
ore_ont_7418.owl,0.235179,0.111841,0.278721,0,0.392993,0,0,1,0,0,0,0,0.243682,0,0,0.108125,0.368114,0.024469,0.258311,0.028058,0,0,0,0,1,0,0,0,1,4.481118
ore_ont_6258.owl,0.206774,0.133777,0.453883,0.458328,0.424341,0.336111,0.31596,0.897124,0.761364,0.345097,0.16603,0.256901,0.234974,0.183547,0.393303,0.099571,0.239993,0.150444,0.368928,0.088492,0.1198,0.1257,0.371008,0.6766,1,0,0,0,0.766423,4.70048
ore_ont_10419.owl,0.356571,0.03675,0.277639,0,0.30828,0,0,1,1,0,0,0,0,0.199135,0.487127,0.04779,0.349143,0.035467,0.416545,0.040669,0,0,0,0,0,0,0,0,0,4.70953
ore_ont_7079.owl,0.484686,0.073297,0.380718,0.149658,0.523689,0.026842,0.251857,0.863708,0.846005,0.36525,0.022698,0.332535,0.529332,0.194704,0.557955,0.083341,0.30936,0.087923,0.5234,0.067805,0,0.5025,0.36306,0.172,0.9139,0.0861,0,0,0.770878,5.697093
ore_ont_4429.owl,0.478516,0.078849,0.395664,0.155779,0.527223,0.025764,0.176717,0.856175,0.837281,0.380219,0.028977,0.424122,0.524276,0.192109,0.545646,0.085033,0.311171,0.087042,0.510515,0.065719,0,0.4742,0.348013,0.1606,0.94,0.06,0,0,0.838897,5.756797
ore_ont_14042.owl,0.937106,0.072817,0.354092,0.237465,0.839259,0.982782,0.895339,1,1,0.83678,0.374537,0,0,0.188732,0.894166,0.05856,0.625461,0.081601,0.903756,0.061067,0,0,0.934087,1,1,0,0,0,1,10.376092
ore_ont_14355.owl,0.82718,0.050409,0.17139,0.273549,0.699763,0.215657,0.651382,0.999785,0.999804,0.557417,0.015902,0.55243,0.878643,0.262369,0.723822,0.241871,0.85371,0.152409,0.704112,0.145568,0,0,0.707709,0.9993,1,0,0,0,1,8.422076
ore_ont_9119.owl,0.582747,0.163204,0.385762,0.626077,0.730233,1,0,1,1,0,0,0,0,0.150702,0.67639,0.08481,0.696677,0.19721,0.726059,0.131682,0.5,0,0.723857,0.5,1,0,0,0,0,7.204893
ore_ont_8759.owl,0.503754,0.036923,0.298567,0.000168,0.409407,0.000149,0,1,1,0,0,0,0,0.20188,0.588537,0.049312,0.345699,0.035712,0.529796,0.040925,0,0,0.054297,1,1,0,0,0,0,5.577211
ore_ont_5781.owl,0.80665,0.03084,0.048208,0.205452,0.523977,0.645971,0.476474,1,1,0,0,0,0.869508,0.168907,0.609898,0.336839,0.859854,0.057105,0.582771,0.034944,0.0009,0,0.601079,0.9991,1,0,0,0.388889,1,8.024317
ore_ont_16558.owl,0.451728,0.11681,0.433925,0.198175,0.558901,0.443743,0.537075,1,1,0.516108,0.229038,0.356183,0,0.261639,0.592532,0.092968,0.390891,0.137991,0.550498,0.136239,0,0,0.528937,1,1,0,0,0,1,5.493061
ore_ont_11553.owl,0.573068,0.151287,0.442407,0.517274,0.70078,0.518613,0.645009,0.992977,0.979287,0.658856,0.52784,0.649699,0.272742,0.184475,0.671372,0.099005,0.409482,0.182925,0.694887,0.105877,0.4011,0,0.694428,0.5865,1,0,0,0.322581,0.886297,14.403298
ore_ont_1559.owl,0.87113,0.294689,0.559286,0.483959,0.975622,0.880788,0.953869,1,1,0.883427,0.225,0.925686,0,0.475417,0.976368,0.211554,0.885609,0.365385,0.981386,0.395191,0,0,0.965484,1,1,0,0,0.055556,1,10.973432
ore_ont_11695.owl,0.566894,0.176639,0.494291,0.482069,0.709146,0.444923,0.689064,0.992143,0.996838,0.674418,0.512729,0.55086,0,0.258991,0.696253,0.124315,0.503716,0.215326,0.697525,0.164597,0.3905,0,0.680673,0.5947,1,0,0,0.463576,0.938202,10.660212
ore_ont_10004.owl,0.414963,0.052382,0.372019,0.002486,0.422453,0.002601,0,1,1,0,0,0,0,0.219954,0.536417,0.059464,0.215102,0.055546,0.471327,0.06322,0.3333,0,0.126075,0.6667,1,0,0,0.388889,1,5.087596
ore_ont_7464.owl,0.085063,0.08955,0.333733,0.575965,0.295168,0,0,0.357864,0.394366,0.088773,0.009682,0.04651,0.051249,0.18624,0.284693,0.097805,0.158606,0.100195,0.224146,0.105966,0,0.1,0,0,0.4375,0.5625,0,0,0.988636,4.442651
ore_ont_4903.owl,0.404464,0.127819,0.451725,0.416124,0.552589,0.19258,0.441023,0.939715,0.784856,0.440793,0.155388,0.4537,0.416879,0.151609,0.515954,0.083107,0.305612,0.139957,0.522737,0.055714,0.4049,0.0122,0.50201,0.4927,0.9533,0.0467,0.0841,0,0.685315,6.749931
ore_ont_14909.owl,0.662717,0.102729,0.364722,0.487261,0.675073,0.372654,0,1,1,0,0,0.510719,0.765283,0.203847,0.395665,0.506364,0.597934,0.165742,0.366425,0.128103,0.1258,0,0.387102,0.8742,1,0,0,0.015766,1,5.928702
ore_ont_13902.owl,0.619443,0.223311,0.531731,0.193451,0.7429,1,0,1,1,0,0,0,0,0.394905,0.752991,0.162116,0.628656,0.274091,0.727706,0.301033,0,0,0.660455,1,1,0,0,0,0,7.57473
ore_ont_12330.owl,0.641722,0.078985,0.291344,0.174663,0.643014,0.004321,0.11998,1,0.97427,0.290252,0.001808,0,0,0.146303,0.665608,0.057589,0.738435,0.089526,0.674564,0.029458,0.847,0,0.521553,0.153,1,0,0,0,1,7.104418
ore_ont_1370.owl,0.622527,0.038714,0.098119,0.262173,0.681745,0.302932,0.691027,1,1,0.441055,0.00179,0,0.917166,0.239362,0.704953,0.308492,0.907114,0.130313,0.684677,0.119191,0,0,0.693235,1,1,0,0,0,1,9.015055
ore_ont_16371.owl,0.337995,0.06576,0.359232,0.099208,0.40838,0.00791,0,0.946693,0.981319,0.185089,0.006096,0.26114,0.327598,0.191212,0.453267,0.074966,0.292083,0.064694,0.396596,0.044312,0.2857,0,0.23467,0.2262,0.9048,0.0952,0,0,1,4.89784
ore_ont_2604.owl,0.439214,0.090198,0.418305,0.18048,0.517896,0.017458,0.11998,0.81893,0.764635,0.375304,0.037581,0.4299,0.451531,0.192768,0.531649,0.076732,0.332349,0.101154,0.500397,0.076176,0,0.5787,0.296433,0.0879,0.8462,0.1538,0,0,0.815182,5.498533
ore_ont_13359.owl,0.537335,0.029636,0.042365,0.00012,0.431087,0.00011,0,1,1,0,0,0,0.828912,0.196313,0.608718,0.295868,0.831752,0.035541,0.555469,0.037527,0,0,0.054297,1,1,0,0,0,0,8.312135
ore_ont_2513.owl,0.731384,0.278406,0.46121,0.666094,0.840248,0,0,0.818916,1,0,0,0,0.816683,0.086605,0.458763,0.605909,0.844575,0.154945,0.515616,0.029154,0.2905,0.2471,0.520439,0.4623,0.96,0.04,0.04,0,0.866667,8.478314
ore_ont_1406.owl,0.341496,0.042072,0.302191,0.002637,0.332894,0.024645,0.234133,1,1,0,0,0,0,0.208074,0.480897,0.052889,0.24211,0.042915,0.408528,0.048816,0,0,0.108595,1,1,0,0,0,1,4.697445
ore_ont_218.owl,0.409997,0.093865,0.431183,0.175875,0.508421,0.190783,0.502287,0.99506,0.984952,0.273863,0.00954,0.172107,0,0.213151,0.540193,0.079565,0.284991,0.111906,0.503849,0.079292,0.0277,0,0.477866,0.9468,1,0,0,0,0.957447,5.777652
ore_ont_9046.owl,0.792565,0.030282,0.037562,0.001021,0.492357,0.000591,0,1,1,0,0,0,0.857129,0.212017,0.626465,0.32517,0.854765,0.046718,0.572833,0.05336,0.4,0,0.152432,0.6,1,0,0,1,1,7.89804
ore_ont_11554.owl,0.200093,0.181117,0.445163,0.664923,0.452731,0.287425,0.288209,0.692361,0.551724,0.346543,0.127661,0.328644,0,0.135766,0.342216,0.155592,0.317211,0.185186,0.353891,0.08243,0.1856,0.2994,0.329373,0.3952,1,0,0.0054,0,0.852239,4.846808
ore_ont_6134.owl,0.376579,0.130921,0.452743,0.336516,0.531941,0.416748,0.474598,0.915039,0.802235,0.533217,0.585358,0.481319,0,0.223856,0.536525,0.096662,0.462557,0.156397,0.511994,0.11223,0.0328,0.1828,0.499252,0.7377,1,0,0.0345,0,0.830769,14.403298
ore_ont_10314.owl,0.296475,0.031006,0.116606,0,0.185203,0,0,1,1,0,0,0,0.456313,0.191991,0.307567,0.268773,0.40307,0.032498,0.21598,0.037265,0,0,0,0,1,0,0,0,1,4.641181
ore_ont_9855.owl,0.507839,0.154436,0.39968,0.658365,0.67795,0.745321,0.5973,1,1,0.620959,0.57017,0.591389,0,0.137056,0.620896,0.091289,0.435243,0.187379,0.668982,0.090504,0.3416,0,0.693794,0.6584,1,0,0.3681,0,0.777273,7.718389
ore_ont_6223.owl,0.678907,0.042891,0.127576,0.202408,0.707983,0.176341,0.665276,1,0.999912,0.601851,0.01863,0.55243,0.92358,0.25197,0.743597,0.263382,0.91468,0.129996,0.722371,0.125919,0,0,0.712228,1,1,0,0,0.972222,1,9.183586
ore_ont_9884.owl,0.490939,0.050757,0.316029,0.000383,0.468933,0,0,1,1,0,0,0,0,0.218482,0.587373,0.058487,0.383123,0.053382,0.528607,0.061102,1,0,0,0,0,0,0,0,0,5.796058
ore_ont_10127.owl,0.625276,0.266487,0.479644,0.66473,0.766059,0,0,0.820092,1,0,0,0,0.735492,0.08736,0.437242,0.490752,0.754472,0.153193,0.489843,0.029584,0.2982,0.246,0.493137,0.4558,0.9545,0.0455,0.0455,0,0.866667,7.235379
ore_ont_2678.owl,0.208693,0.075762,0.38153,0.654279,0.352906,0,0,0.273129,0.242991,0.173414,0.01364,0.236618,0.349526,0.204426,0.312707,0.158932,0.244174,0.146885,0.264979,0.135584,0,0.2131,0,0,0.3429,0.6571,0,0,1,4.58156
ore_ont_4033.owl,0.695329,0.136427,0.366909,0.941138,0.7955,1,0.700554,1,1,0,0,0,0.773341,0.104798,0.708139,0.113442,0.642342,0.203624,0.79837,0.089564,0.4493,0,0.836034,0.5507,1,0,0,0,0,8.195426
ore_ont_13482.owl,0.898969,0.138288,0.343045,0.960392,0.935094,1,0.842957,1,1,0,0,0,0.930502,0.111536,0.849718,0.119086,0.812199,0.209742,0.954825,0.093536,0.4767,0,0.993783,0.5233,1,0,0,0,0,10.44855
ore_ont_10230.owl,0.267451,0.070178,0.341103,0.798459,0.370925,0,0,0.113479,0.223301,0,0,0,0.376613,0.189315,0.309541,0.165164,0.304647,0.118717,0.258311,0.134967,0,0,0,0,0.4154,0.5846,0,0,1,4.857225
ore_ont_5564.owl,0.27434,0.080856,0.411452,0.135392,0.389947,0.004808,0,0.856198,0.813449,0.219901,0.017806,0.160898,0.343389,0.1884,0.402934,0.08063,0.237819,0.078242,0.347378,0.059126,0,0.6909,0.086059,0.0364,0.6986,0.3014,0,0,0.875,4.65713
ore_ont_264.owl,0.501549,0.150906,0.36752,0.54795,0.6553,0,0,1,1,0,0,0,0,0,0,0.073331,0.550501,0.181556,0.645172,0.02895,0.4684,0,0.640164,0.5316,1,0,0,0,0,6.02506
ore_ont_11149.owl,0.175023,0.111792,0.432991,0.107809,0.358122,0.059829,0,0.910322,0.379791,0.185089,0.017951,0,0,0.191991,0.318621,0.146881,0.212138,0.199178,0.297673,0.048306,0,0.25,0.108595,0.25,0.3084,0.6916,0.4019,0,0.945545,4.532599
ore_ont_11198.owl,0.674439,0.11317,0.449929,0.209911,0.707976,0.180681,0.662902,1,0.99991,0,0,0,0,0.253979,0.741975,0.089684,0.476997,0.133244,0.720917,0.129031,0,0,0.712228,1,1,0,0,0,1,7.686774
ore_ont_16255.owl,0.324654,0.079494,0.405844,0.143788,0.445338,0.146421,0,0.978114,0.97397,0,0,0,0.37524,0.20382,0.455999,0.066995,0.237819,0.090719,0.40456,0.085174,0.0086,0,0.360744,0.8534,1,0,0,0.065333,1,4.747826
ore_ont_2720.owl,0.31366,0.046664,0.320474,0,0.334252,0,0,1,1,0,0,0,0,0.213689,0.464609,0.055799,0.290943,0.048148,0.389803,0.05521,0,0,0,0,0,0,0,0,0,4.631487
ore_ont_2526.owl,0.143142,0.197069,0.534845,0.555601,0.417096,0.031496,0,0.484444,0.288288,0.313161,0.123033,0.166737,0.209477,0.178823,0.324054,0.173857,0.246186,0.239152,0.325121,0.095544,0.1216,0.5,0.108595,0.0405,0.9333,0.0667,0.1467,0,0.821918,4.525405
ore_ont_7278.owl,0.256602,0.148592,0.472788,0,0.438167,0,0,1,0.928571,0,0,0.210391,0.399786,0.172881,0.337693,0.123487,0.273041,0.033996,0.261522,0.028037,0,0,0,0,0.5556,0.4444,0.2778,0,0.897959,4.55738
ore_ont_714.owl,0.093606,0.12385,0.483716,0.536294,0.325652,0.064516,0.046415,0.614719,0.708333,0.16425,0.027297,0.13057,0.153746,0.13578,0.231467,0.139048,0.164229,0.138985,0.21,0.05821,0.2,0.08,0.126075,0.16,0.8393,0.1607,0.25,0.083333,0.765363,4.442651
ore_ont_14367.owl,0.481098,0.079633,0.39707,0.157165,0.530958,0.02737,0.193545,0.856214,0.837741,0.380891,0.027739,0.424242,0.531596,0.192226,0.545873,0.087017,0.311171,0.086934,0.51066,0.065925,0,0.465,0.352491,0.1682,0.9398,0.0602,0,0,0.844904,5.824032
ore_ont_15280.owl,0.896287,0.135705,0.335637,0.967704,0.931359,1,0.84204,1,1,0,0,0,0.929741,0.101171,0.839694,0.117419,0.674979,0.206724,0.951294,0.086553,0.48,0,0.991329,0.52,1,0,0,0,0,10.399332
ore_ont_14863.owl,0.38144,0.035234,0.11246,0.112997,0.431611,0.067688,0.323313,1,0.999055,0.314589,0.006242,0,0.67359,0.193648,0.508474,0.228912,0.64547,0.068781,0.459533,0.049143,0.4186,0,0.378848,0.5814,1,0,0,0,1,5.641907
ore_ont_8145.owl,0.593135,0.413845,0.769054,0.119375,0.798908,1,0,1,1,0,0,0,0,0.65316,0.803551,0.299262,0.618689,0.517793,0.775324,0.590256,0,0,0.595179,1,1,0,0,0,0,8.13983
ore_ont_14128.owl,0.10517,0.065815,0.358882,0.305458,0.262637,0.351064,0.046415,1,1,0,0,0,0,0.163333,0.304141,0.052716,0.202538,0.105025,0.261522,0.077828,0.0588,0,0.273898,0.9412,1,0,0,0,0,4.418841
ore_ont_11676.owl,0.151427,0.110906,0.249378,0,0.335143,0,0,1,0,0,0,0,0.081227,0,0,0.114198,0.30067,0.023461,0.196397,0.026902,0,0,0,0,1,0,0,0,1,4.442651
ore_ont_13684.owl,0.698385,0.100303,0.313761,0.103486,0.702832,0.078913,0.193545,1,1,0.342104,0.001632,0.36282,0.752042,0.290671,0.707159,0.170172,0.710092,0.199903,0.690654,0.180039,0.2999,0,0.571509,0.7001,1,0,0,0.142276,1,7.474394
ore_ont_5303.owl,0.102404,0.156234,0.43969,0.563653,0.389556,0.308943,0.280548,0.769953,0.5,0.277325,0.165502,0.283128,0,0.129178,0.321934,0.102936,0.195446,0.193856,0.33871,0.064035,0.2162,0.1802,0.3016,0.4144,1,0,0,0,1,4.988162
ore_ont_5475.owl,0.934293,0.039876,0.093624,0.327213,0.734302,0.352314,0.723575,0.999925,0.999942,0,0,0,0.965734,0.253647,0.744441,0.328969,0.958368,0.154472,0.732119,0.142161,0,0,0.750031,0.9998,1,0,0,0,0,9.412056
ore_ont_4235.owl,0.637416,0.019996,0,0,0,0,0,1,1,0,0,0,0,0.181279,0.669507,0.037965,0.76057,0.014039,0.621238,0.016098,0,0,0,0,0,0,0,0,0,6.778406
ore_ont_7320.owl,0.483595,0.072891,0.379159,0.151981,0.522414,0.027085,0.251857,0.8614,0.844083,0.365037,0.022963,0.327124,0.529332,0.194661,0.557355,0.083573,0.30936,0.088357,0.522934,0.068053,0,0.4992,0.36306,0.1709,0.9167,0.0833,0,0,0.769397,5.731181
ore_ont_13234.owl,0.263363,0.032106,0.274267,0,0.189252,0,0,1,1,0,0,0,0,0.195812,0.422147,0.045961,0.293207,0.029528,0.341892,0.033859,0,0,0,0,0,0,0,0,0,4.514516
ore_ont_8194.owl,0.658978,0.037208,0.089713,0.210654,0.687952,0.237379,0.691027,1,1,0.441251,0.001379,0,0.936827,0.229639,0.721256,0.302276,0.92856,0.113712,0.70101,0.102637,0.0414,0,0.696718,0.9586,1,0,0.0123,0,0.835443,9.241871
ore_ont_12474.owl,0.477926,0.079092,0.396157,0.156242,0.527248,0.026561,0.176717,0.856624,0.837532,0.380388,0.029179,0.425199,0.522657,0.192265,0.545778,0.084623,0.311171,0.087194,0.510645,0.0659,0,0.4667,0.350731,0.1657,0.94,0.06,0,0,0.838897,5.790979
ore_ont_5014.owl,0.223374,0.148732,0.471033,0.315341,0.41787,0.083333,0,0.681146,0.785714,0.044387,0.000563,0,0.327598,0.093198,0.171306,0.253241,0.230927,0.139718,0.173752,0.034466,0,0.1111,0.054297,0.1111,0.1333,0.8667,0.8778,0,0.996154,4.669709
ore_ont_10321.owl,0.05975,0.04483,0.33511,0.382231,0.165986,0,0,0.559678,0,0,0,0,0.118996,0.076518,0.13888,0.098569,0.112993,0.044406,0.110649,0.028963,0,0,0,0,0.2727,0.7273,0.5682,0,1,4.414816
ore_ont_9944.owl,0.528433,0.147579,0.458608,0.405245,0.654615,0.546995,0.617753,1,0.996077,0.61951,0.493645,0.603664,0,0.206087,0.639469,0.097452,0.416418,0.177452,0.645181,0.121613,0.4199,0,0.624951,0.5801,1,0,0,0.54902,0.921348,6.82546
ore_ont_7204.owl,0.653111,0.090466,0.324951,0.219596,0.669789,0.054561,0.250282,0.999617,0.977065,0.440266,0.016288,0,0,0.139862,0.67302,0.061547,0.737778,0.104211,0.693554,0.034885,0.814,0,0.56725,0.1844,1,0,0,0,1,7.549609
ore_ont_6444.owl,0.536136,0.271582,0.499748,0.616998,0.70592,0,0,0.835662,1,0,0,0,0.667495,0.096225,0.391616,0.477313,0.681625,0.147957,0.427629,0.029554,0.2782,0.2419,0.428997,0.4798,0.9565,0.0435,0.0435,0,0.866667,6.029081
ore_ont_15929.owl,0.695829,0.151204,0.449394,0.314681,0.769502,0.397437,0.750205,1,1,0.518022,0.014539,0,0,0.288303,0.778682,0.112176,0.64441,0.181884,0.765929,0.178166,0,0,0.771429,1,1,0,0,0,1,8.204763
ore_ont_5646.owl,0.116329,0.061598,0.354157,0.224726,0.258587,0.30303,0.234133,1,1,0.211054,0.097287,0.13953,0,0.179288,0.326613,0.053038,0.146041,0.072286,0.263462,0.051163,0,0,0.271487,1,1,0,0,0,1,4.422849
ore_ont_9186.owl,0.477763,0.079057,0.395938,0.155203,0.527023,0.025867,0.176717,0.856917,0.837943,0.37971,0.028927,0.425199,0.522657,0.192109,0.545381,0.08468,0.311171,0.086997,0.510195,0.065688,0,0.4721,0.348013,0.1618,0.9398,0.0602,0,0,0.838897,5.796058
ore_ont_4006.owl,0.698428,0.028766,0.000359,0,0,0,0,1,1,0,0,0,0,0.191967,0.71627,0.043846,0.761239,0.025256,0.674081,0.02896,0,0,0,0,0,0,0,0,0,7.421377
ore_ont_6495.owl,0.106075,0.179358,0.439112,0.575622,0.381222,0.164384,0.220696,0.582225,0.489362,0.28956,0.131993,0.252375,0,0.173234,0.287457,0.163788,0.289786,0.172509,0.263078,0.098451,0.0652,0.5652,0.20673,0.2826,1,0,0,0,0.823077,4.492375
